Timestamp,M6,M6_D,M1,M1_D,M15,M15_D,M2,M2_D,M3,M3_D,M13,M13_D,M4,M4_D,M7,M7_D
2021-03-20 13:00:00,23.25,0.55000019,24.29999971,0.07499933,21.7249999,0.14999961,22.75,-0.12499952,23.79999924,0,20.89999962,0,23.77499962,-0.0999999,22.69999981,-0.30000019
2021-03-20 14:00:00,23.5,0.25,24.20000076,-0.09999895,22.1500001,0.4250002,22.70000076,-0.04999924,23.79999924,0,20.89999962,0,23.79999924,0.02499962,22.75,0.05000019
2021-03-20 15:00:00,23.2750001,-0.2249999,24.20000076,0,22.5,0.3499999,22.70000076,0,23.79999924,0,20.79999971,-0.09999991,23.72500038,-0.07499886,23.0250001,0.2750001
2021-03-20 16:00:00,23.20000076,-0.07499934,24.15000057,-0.05000019,22.17499971,-0.32500029,22.70000076,0,23.79999924,0,20.74999952,-0.05000019,23.57500029,-0.15000009,23.32499981,0.29999971
2021-03-20 17:00:00,23.16000061,-0.04000015,24.0250001,-0.12500047,21.70000013,-0.47499958,22.70000076,0,23.79999924,0,20.37499952,-0.375,23.5,-0.07500029,23.4749999,0.15000009
2021-03-20 18:00:00,23.22500038,0.06499977,24,-0.0250001,21.60000038,-0.09999975,22.62500048,-0.07500028,23.79999924,0,20.5,0.12500048,23.44999981,-0.05000019,23.39999962,-0.07500028
2021-03-20 19:00:00,23.22500038,0,24.125,0.125,21.8499999,0.24999952,22.60000038,-0.0250001,23.79999924,0,20.79999924,0.29999924,23.39999962,-0.05000019,23.37499952,-0.0250001
2021-03-20 20:00:00,23.29999924,0.07499886,24.32499933,0.19999933,22,0.1500001,22.67500067,0.07500029,23.79999924,0,20.52499962,-0.27499962,23.20000029,-0.19999933,23.34999943,-0.02500009
2021-03-20 21:00:00,23.29999924,0,24.32499981,4.8E-07,21.75,-0.25,22.70000076,0.02500009,23.79999924,0,20.16666667,-0.35833295,23.07500029,-0.125,23.27499962,-0.07499981
2021-03-20 22:00:00,23.5,0.20000076,24.2750001,-0.04999971,21.7750001,0.0250001,22.70000076,0,23.79999924,0,20,-0.16666667,22.75,-0.32500029,23.20000076,-0.07499886
2021-03-20 23:00:00,23.60000038,0.10000038,24.07500029,-0.19999981,21.39999962,-0.37500048,22.70000076,0,23.79999924,0,19.7249999,-0.2750001,22.89999962,0.14999962,23.25,0.04999924
2021-03-21 00:00:00,23.6666673,0.06666692,23.66666667,-0.40833362,21.1666673,-0.23333232,22.79999924,0.09999848,23.79999924,0,20.39999962,0.67499972,22.79999924,-0.10000038,23.20000076,-0.04999924
2021-03-21 01:00:00,23.70000076,0.03333346,23.84999943,0.18333276,21.07500029,-0.09166701,22.79999924,0,23.79999924,0,20.39999962,0,22.77499962,-0.02499962,23.15000057,-0.05000019
2021-03-21 02:00:00,23.70000076,0,24.10000038,0.25000095,20.7249999,-0.35000039,22.79999924,0,23.79999924,0,20.5,0.10000038,22.70000076,-0.07499886,23.17500067,0.0250001
2021-03-21 03:00:00,23.77499962,0.07499886,24.17500067,0.07500029,20.89999962,0.17499972,22.75,-0.04999924,23.79999924,0,20.5,0,22.65000057,-0.05000019,23.07500029,-0.10000038
2021-03-21 04:00:00,23.79999924,0.02499962,24.20000076,0.02500009,20.89999962,0,22.67500067,-0.07499933,23.79999924,0,20.5,0,22.60000038,-0.05000019,23,-0.07500029
2021-03-21 05:00:00,23.79999924,0,24.32499933,0.12499857,20.82499933,-0.07500029,22.57500029,-0.10000038,23.79999924,0,20.5,0,22.60000038,0,23,0
2021-03-21 06:00:00,23.77499962,-0.02499962,24.5,0.17500067,20.82499933,0,22.4749999,-0.10000039,23.79999924,0,20.60000038,0.10000038,22.60000038,0,23,0
2021-03-21 07:00:00,23.79999924,0.02499962,24.5,0,20.89999962,0.07500029,22.37499952,-0.10000038,23.79999924,0,20.42499971,-0.17500067,22.67500067,0.07500029,23,0
2021-03-21 08:00:00,23.79999924,0,24.5,0,20.93333308,0.03333346,22.26666641,-0.10833311,23.79999924,0,20.60000038,0.17500067,22.6666673,-0.00833337,23,0
2021-03-21 09:00:00,23.70000076,-0.09999848,24.39999962,-0.10000038,20.6500001,-0.28333298,22.20000076,-0.06666565,23.79999924,0,20.60000038,0,22.60000038,-0.06666692,23.17500067,0.17500067
2021-03-21 10:00:00,23.70000076,0,24.1500001,-0.24999952,21.0250001,0.375,22.10000038,-0.10000038,23.79999924,0,20.5250001,-0.07500028,22.5,-0.10000038,23.25,0.07499933
2021-03-21 11:00:00,23.70000076,0,23.69999981,-0.45000029,21.6500001,0.625,22.10000038,0,23.79999924,0,20.5,-0.0250001,22.44999981,-0.05000019,23.29999924,0.04999924
2021-03-21 12:00:00,23.55000019,-0.15000057,24.0250001,0.32500029,21.89999962,0.24999952,22,-0.10000038,23.79999924,0,20.5250001,0.0250001,22.5,0.05000019,23.25,-0.04999924
2021-03-21 13:00:00,23.65000057,0.10000038,23.69999981,-0.32500029,21.70000029,-0.19999933,22.07500029,0.07500029,23.79999924,0,20.60000038,0.07500028,22.5,0,23.17500067,-0.07499933
2021-03-21 14:00:00,23.70000029,0.04999972,24.20000029,0.50000048,21.65000057,-0.04999972,22.17500067,0.10000038,23.89999962,0.10000038,20.60000038,0,22.5,0,23.10000038,-0.07500029
